,ZONA_O,NOME_O,CO_O_X,CO_O_Y,CO_DOM_X,CO_DOM_Y,DATA,DIASEMANA,HORA_SAIDA,ZONA_D,NOME_D,CO_D_X,CO_D_Y,HORA_CHEG,DURACAO,IDADE,SEXO,TIPVG,MODOPRIN,MODO1,MODO2,MODO3,MODO4,FE_VIA,MOTIVO_O,MOTIVO_D,CO_T1_X,CO_T1_Y,CO_T2_X,CO_T2_Y,CO_T3_X,CO_T3_Y,CO_TR1_X,CO_TR1_Y,CO_TR2_X,CO_TR2_Y,PE_BICI,VIA_BICI,TP_ESTBICI,QT_BICICLE,QT_AUTO,QT_MOTO,CRITERIOBR,RENDA_FA
228,1,Sé,-23.54849470112245,-46.63620393521727,-23.563384754651885,-46.64399023300702,14/09/2018,4,15:10:00,5,República,-23.54612025494767,-46.644715763575505,15:15:00,300,49,1,4,15,15,0,0,0,86.43248100000001,3,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.563384754651885,-46.64399023300702,0.0,0.0,1,1,1,2,3,0,1,11125.56
753,1,Sé,-23.548955384452626,-46.63361390861912,-23.584394877906746,-46.60282647900003,1/07/2018,6,17:00:00,236,Ipiranga,-23.584394877906746,-46.60282647900003,17:30:00,1800,40,1,4,15,15,0,0,0,59.478471,2,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.548955384452626,-46.63361390861912,0.0,0.0,7,2,3,1,2,0,1,8964.25
957,3,Praça João Mendes,-23.554415720450567,-46.628734617389064,-23.54869688456449,-46.629849357988725,2/08/2018,3,13:30:00,2,Parque Dom Pedro,-23.54869688456449,-46.629849357988725,13:40:00,600,71,1,4,15,15,0,0,0,45.993065,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,2,0,0,5,1908.0
958,3,Praça João Mendes,-23.554415720450567,-46.628734617389064,-23.54869688456449,-46.629849357988725,2/08/2018,3,18:10:00,2,Parque Dom Pedro,-23.54869688456449,-46.629849357988725,18:20:00,600,71,1,4,15,15,0,0,0,45.993065,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,2,0,0,5,1908.0
959,3,Praça João Mendes,-23.554415720450567,-46.628734617389064,-23.54869688456449,-46.629849357988725,2/08/2018,3,18:10:00,2,Parque Dom Pedro,-23.54869688456449,-46.629849357988725,18:20:00,600,8,2,4,15,15,0,0,0,119.573967,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,2,0,0,5,1908.0
960,3,Praça João Mendes,-23.554415720450567,-46.628734617389064,-23.54869688456449,-46.629849357988725,2/08/2018,3,18:10:00,2,Parque Dom Pedro,-23.54869688456449,-46.629849357988725,18:20:00,600,6,1,4,15,15,0,0,0,119.573967,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,2,0,0,5,1908.0
1474,82,Pinheiros,-23.562450137814626,-46.698993407961375,-23.607416357771392,-46.65670993089931,19/09/2018,2,18:00:00,64,Moema,-23.607416357771392,-46.65670993089931,18:35:00,2100,59,1,4,15,15,0,0,0,174.204676,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.562450137814626,-46.698993407961375,0.0,0.0,5,1,3,1,1,0,2,5513.75
1482,82,Pinheiros,-23.564677380779987,-46.692664346755315,-23.606034300847526,-46.6735866318047,25/08/2018,5,18:00:00,66,Bandeirantes,-23.606034300847526,-46.6735866318047,18:30:00,1800,50,1,4,15,15,0,0,0,84.261764,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.564677380779987,-46.692664346755315,0.0,0.0,5,1,6,0,1,0,1,11742.85
1486,82,Pinheiros,-23.5676934418689,-46.700109074463086,-23.58492896748226,-46.667048251231286,12/10/2018,4,22:00:00,67,Vila Nova Conceição,-23.58492896748226,-46.667048251231286,22:25:00,1500,65,2,4,15,15,0,0,0,79.622434,7,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.58492896748226,-46.667048251231286,0.0,0.0,8,1,3,9,2,0,1,11125.56
1489,82,Pinheiros,-23.561376649377127,-46.69641307048223,-23.5805368665283,-46.67576146424865,26/09/2018,2,17:00:00,68,Chácara Itaim,-23.5805368665283,-46.67576146424865,17:20:00,1200,28,2,4,15,15,0,0,0,129.967758,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.561376649377127,-46.69641307048223,0.0,0.0,1,1,3,1,1,0,1,8964.25
1509,82,Pinheiros,-23.569218922194604,-46.69188985628325,-23.612732775194182,-46.679610379108176,3/09/2018,0,12:30:00,71,Brooklin,-23.612732775194182,-46.679610379108176,13:00:00,1800,20,1,4,15,15,0,0,0,222.205713,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,3,0,0,0,0,7309.58
1667,82,Pinheiros,-23.569557178266177,-46.69316774070121,-23.569557178266177,-46.69316774070121,7/08/2018,1,16:30:00,69,Vila Olímpia,-23.59162558384116,-46.67746023024574,16:50:00,1200,34,1,4,15,15,0,0,0,101.88726199999999,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.59162558384116,-46.67746023024574,0.0,0.0,1,2,3,1,0,0,5,2085.99
1669,82,Pinheiros,-23.569400356309675,-46.69843625598745,-23.569400356309675,-46.69843625598745,26/09/2018,2,05:00:00,82,Pinheiros,-23.566371869832775,-46.70287420176166,05:15:00,900,27,1,4,15,15,0,0,0,90.595228,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.566371869832775,-46.70287420176166,0.0,0.0,1,1,3,3,1,0,4,2884.19
1670,82,Pinheiros,-23.566371869832775,-46.70287420176166,-23.569400356309675,-46.69843625598745,26/09/2018,2,18:00:00,82,Pinheiros,-23.569400356309675,-46.69843625598745,18:20:00,1200,27,1,4,15,15,0,0,0,90.595228,3,8,0.0,0.0,0.0,0.0,0.0,0.0,-23.566371869832775,-46.70287420176166,0.0,0.0,1,1,3,3,1,0,4,2884.19
1676,82,Pinheiros,-23.56453994382923,-46.69615981478303,-23.56453994382923,-46.69615981478303,29/05/2018,1,13:30:00,339,Cidade Universitária,-23.561739043167947,-46.724208686884594,14:00:00,1800,24,1,4,15,15,0,0,0,90.595228,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4,2,1,0,3,4949.29
1680,82,Pinheiros,-23.563601000415087,-46.69531508909916,-23.563601000415087,-46.69531508909916,23/06/2018,5,09:00:00,73,Berrini,-23.590494284432456,-46.69101624605748,09:40:00,2400,23,2,4,15,15,0,0,0,90.595228,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.590494284432456,-46.69101624605748,0.0,0.0,7,1,3,1,1,0,3,5223.9
1694,82,Pinheiros,-23.563264657690734,-46.6988275564119,-23.563264657690734,-46.6988275564119,14/08/2018,1,13:00:00,339,Cidade Universitária,-23.561974772152745,-46.72818888312167,13:25:00,1500,34,1,4,15,15,0,0,0,101.88726199999999,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.561974772152745,-46.72818888312167,0.0,0.0,7,2,1,2,0,0,3,4689.12
1695,82,Pinheiros,-23.563264657690734,-46.6988275564119,-23.563264657690734,-46.6988275564119,14/08/2018,1,09:30:00,64,Moema,-23.603477358630087,-46.662794707562796,10:00:00,1800,31,2,4,15,15,0,0,0,101.88726199999999,8,3,0.0,0.0,0.0,0.0,0.0,0.0,-23.603477358630087,-46.662794707562796,0.0,0.0,7,2,3,2,0,0,3,4689.12
1711,82,Pinheiros,-23.561122507916124,-46.6957045017214,-23.561122507916124,-46.6957045017214,23/06/2018,5,11:50:00,81,Jardim Europa,-23.576402193485247,-46.687338110057894,12:00:00,600,58,1,4,15,15,0,0,0,44.560066,8,5,0.0,0.0,0.0,0.0,0.0,0.0,-23.492348273547083,-46.7560935228085,0.0,0.0,7,1,2,1,1,0,3,4209.08
1731,82,Pinheiros,-23.560382647060315,-46.698957019616955,-23.560382647060315,-46.698957019616955,26/06/2018,1,07:45:00,83,Vila Madalena,-23.55870974220007,-46.68922793706725,08:00:00,900,48,2,4,15,15,0,0,0,44.560066,8,7,0.0,0.0,0.0,0.0,0.0,0.0,-23.560382647060315,-46.698957019616955,0.0,0.0,7,1,7,2,1,0,2,6142.58
