"id","dist_pot","age_pot","incl_pot","final_pot","distance","distance_0","distance_1","distance_2","distance_3","distance_4","route","answers__id","answers__dist","answers__incl","answers__final","answers__coment","regiao"
" 76232 "," 0.304 "," 0.126 "," 0.076 "," 0.168 "," 3124 "," 1480 "," 820 "," 440 "," 260 "," 130 ","null"," 76232 ","5","3","4","","leste1"
"","","","","","","","","","","",""," 76232 ","3","4","5","",""
"","","","","","","","","","","",""," 76232 ","5","3","3","",""
"","","","","","","","","","","",""," 76232 ","5","3","5","Descer aí é muito bom",""
"","","","","","","","","","","",""," 76232 ","3","4","4","",""
"","","","","","","","","","","",""," 76232 ","5","3","5","",""
"","","","","","","","","","","",""," 76232 ","3","1","2","",""
"","","","","","","","","","","",""," 76232 ","5","3","4","É um trajeto legível cujo sistema viário permite várias conexões. ",""
"","","","","","","","","","","",""," 76232 ","5","3","5","",""
" 76812 "," 0.881 "," 0.242 "," 0.271 "," 0.465 "," 1372 "," 420 "," 290 "," 400 "," 140 "," 130 ","null"," 76812 ","5","2","4","","leste1"
"","","","","","","","","","","",""," 76812 ","4","3","3","",""
"","","","","","","","","","","",""," 76812 ","3","3","3","",""
"","","","","","","","","","","",""," 76812 ","5","3","5","",""
"","","","","","","","","","","",""," 76812 ","3","3","4","",""
"","","","","","","","","","","",""," 76812 ","5","3","5","",""
"","","","","","","","","","","",""," 76812 ","3","2","1","Não tem muitos pontos de interesse nessa rota",""
"","","","","","","","","","","",""," 76812 ","5","3","5","Apesar da topografia (nesse caso, não há alternativas viáveis para evitar as grandes subidas), promove conexão entre importantes vias e equipamentos. ",""
"","","","","","","","","","","",""," 76812 ","5","2","3","",""
" 17402 "," 0.424 "," 0.721 "," 0.437 "," 0.527 "," 2529 "," 1130 "," 670 "," 640 "," 70 "," 20 ","null"," 17402 ","2","4","5","Para chegar ao destino final, eu não pegaria a Paes de Barros, porque a velocidade dos carros é muito alta na avenida e há outra rota mais curta e rápida. Eu cruzaria a avenida pela Visconde de Inhomerim e seguiria até a rua do Oratório, acessando a partir daí a Rua Cuiabá e indo até o destino final.","leste1"
"","","","","","","","","","","",""," 17402 ","3","3","4","",""
"","","","","","","","","","","",""," 17402 ","3","3","3","",""
"","","","","","","","","","","",""," 17402 ","5","4","5","",""
"","","","","","","","","","","",""," 17402 ","3","3","4","",""
"","","","","","","","","","","",""," 17402 ","5","3","5","",""
"","","","","","","","","","","",""," 17402 ","4","2","2","Maior parte da rota tem corredor de ônibus, subida forte",""
