,NomeDistri,Area_ha_2,population,lane_length,protected_length,bike_lane_length,sharrow_length,density_area,density_percent
0,Água Rasa,7.15,84963,151.47,0.0,7.57,0.47,0.23,0.2
1,Alto de Pinheiros,7.51,43117,143.55,9.22,8.68,0.0,0.53,0.51
2,Anhanguera,33.4,65859,195.12,0.0,0.0,0.0,0.0,0.0
3,Aricanduva,6.86,89622,147.71,1.48,9.81,0.0,0.36,0.31
4,Artur Alvim,6.53,105269,140.96,0.0,16.2,0.0,0.55,0.47
5,Barra Funda,5.9,14383,89.95,1.89,12.01,0.87,0.52,0.63
6,Bela Vista,2.77,69460,55.48,0.0,2.21,0.0,0.18,0.16
7,Belém,6.14,45057,92.82,0.25,1.58,1.65,0.07,0.08
8,Bom Retiro,4.27,33892,74.02,2.88,6.72,0.0,0.49,0.53
9,Brás,3.65,29265,60.62,0.57,1.99,0.0,0.16,0.17
10,Brasilândia,21.06,264918,279.51,2.22,4.29,0.0,0.07,0.09
11,Butantã,12.92,54196,188.67,4.11,3.55,0.0,0.13,0.17
12,Cachoeirinha,13.59,157408,163.73,0.0,3.7,0.0,0.06,0.09
13,Cambuci,3.94,36948,64.6,0.0,7.77,0.0,0.43,0.49
14,Campo Belo,8.86,62530,160.96,0.0,7.1,0.0,0.18,0.18
15,Campo Grande,13.02,100713,199.05,5.31,13.72,0.0,0.32,0.39
16,Campo Limpo,12.61,216098,257.8,0.0,7.3,0.0,0.13,0.12
17,Cangaíba,13.79,136623,217.2,6.26,12.71,0.0,0.3,0.36
18,Capão Redondo,13.82,275230,296.56,0.0,2.68,0.0,0.04,0.04
19,Carrão,7.8,83281,156.12,0.0,10.49,0.0,0.3,0.27
20,Casa Verde,7.17,85624,133.72,2.07,7.08,0.0,0.28,0.28
21,Cidade Ademar,12.26,266681,270.92,0.0,0.82,0.0,0.01,0.01
22,Cidade Dutra,27.79,203473,385.74,4.18,7.67,0.0,0.09,0.12
23,Cidade Líder,10.58,126597,192.99,0.0,3.97,0.0,0.08,0.08
24,Cidade Tiradentes,14.95,211501,207.2,0.0,1.87,0.0,0.03,0.04
25,Consolação,3.8,57365,68.14,0.82,6.64,0.0,0.43,0.44
26,Cursino,12.08,109088,172.25,0.0,1.75,0.0,0.03,0.04
27,Ermelino Matarazzo,9.43,113615,152.81,6.4,13.35,0.0,0.46,0.53
28,Freguesia do Ó,11.06,142327,226.76,6.19,2.88,0.0,0.18,0.16
29,Grajaú,92.79,500787,657.16,0.0,0.0,0.0,0.0,0.0
30,Guaianases,8.91,103996,141.43,0.0,0.0,0.0,0.0,0.0
31,Iguatemi,19.53,127662,238.66,2.66,1.91,0.0,0.05,0.08
32,Ipiranga,11.05,106865,177.09,0.85,18.2,0.0,0.38,0.44
33,Itaim Bibi,10.05,92570,212.37,11.27,3.67,2.51,0.33,0.29
34,Itaim Paulista,12.25,278026,247.58,0.0,0.0,0.0,0.0,0.0
35,Itaquera,14.73,204871,304.15,1.34,18.17,0.0,0.29,0.26
36,Jabaquara,14.08,223780,287.33,0.0,11.05,0.0,0.17,0.16
37,Jaçanã,7.51,94609,143.8,0.0,1.4,0.0,0.04,0.04
38,Jaguara,4.54,24895,79.21,0.07,1.89,0.0,0.1,0.1
39,Jaguaré,6.57,49863,98.08,1.95,11.82,0.0,0.46,0.57
40,Jaraguá,28.2,281824,287.84,0.0,3.44,0.0,0.03,0.05
41,Jardim Ângela,36.82,295434,376.37,0.0,0.0,0.0,0.0,0.0
42,Jardim Helena,9.15,135043,155.79,0.61,8.1,0.0,0.21,0.23
43,Jardim Paulista,6.27,88692,108.04,2.19,6.97,7.35,0.32,0.34
44,Jardim São Luís,25.97,267871,326.29,1.49,6.93,0.0,0.07,0.1
45,José Bonifácio,14.45,124122,150.51,0.0,0.02,0.0,0.0,0.0
